Streams,Daily,Artist,Title,age_grp
1612087991,834447,Queen , Another One Bites The Dust,61+
1611013661,637231,5 Seconds of Summer , Youngblood,0-18
1598753373,1010518,Guns N' Roses , Sweet Child O' Mine,0-18
1598565916,715575,Charlie Puth , Attention,61+
1590955251,729274,Ed Sheeran , Bad Habits,61+
1590286660,515812,Justin Timberlake , CAN'T STOP THE FEELING! (from DreamWorks Animation's "TROLLS"),19-30
1586612041,609938,Twenty One Pilots , Heathens,46-60
1571317118,850590,Danny Ocean , Me Rehúso,61+
1568427715,310654,Maroon 5 , Girls Like You,0-18
1561796549,324834,DaBaby , ROCKSTAR,46-60
1558442853,655394,benny blanco , Eastside,61+
1557510504,679315,The Weeknd , I Feel It Coming,31-45
1554519880,669068,Dean Lewis , Be Alright,61+
1547207402,764367,The Weeknd , Can't Feel My Face,31-45
1544586880,659825,Twenty One Pilots , Ride,19-30
1543673181,1878777,Bruno Mars , Locked out of Heaven,61+
1539461331,720375,Foster The People , Pumped Up Kicks,19-30
1534595339,368715,Cardi B , I Like It,61+
1532303636,439954,Post Malone , I Fall Apart,46-60
1532201468,637526,Sia , Chandelier,61+
1530986581,1169591,a,ha - Take on Me,0-18
1527860257,670453,Calvin Harris , This Is What You Came For,46-60
1525131083,1040890,Maroon 5 , Payphone,46-60
1522327396,818164,TOTO , Africa,0-18
1519345533,1105406,Adele , Rolling in the Deep,19-30
1515702290,744583,Post Malone , Wow.,61+
1512253724,566912,ZAYN , Dusk Till Dawn,31-45
1508032779,569486,OMI , Cheerleader,46-60
1506118891,1337897,Bad Bunny , Me Porto Bonito,31-45
1505911272,540366,Powfu , death bed (coffee for your head),61+
1503679814,1056537,Avicii , The Nights,19-30
1497125581,1017743,The Weeknd , Call Out My Name,31-45
1495372481,889854,Gotye , Somebody That I Used To Know,19-30
1491088042,507165,Ava Max , Sweet but Psycho,31-45
1485856490,922071,Michael Jackson , Billie Jean,0-18
1483329267,408420,Trevor Daniel , Falling,0-18
1478142552,1491797,Lord Huron , The Night We Met,19-30
1474825598,398889,DJ Snake , Taki Taki,31-45
1474355961,808273,J Balvin , LA CANCI�?N,31-45
1473518273,714479,Harry Styles , Adore You,19-30
1472934434,565872,Justin Bieber , Peaches,31-45
1472581177,1043099,Eminem , The Real Slim Shady,46-60
1467868288,702946,The Weeknd , Earned It (Fifty Shades Of Grey),46-60
1462304492,2205641,Taylor Swift , Blank Space,31-45
1461063086,472078,Dua Lipa , IDGAF,0-18
1458720853,282184,Lil Nas X , Old Town Road,31-45
1456843449,417427,Justin Bieber , What Do You Mean?,0-18
1456196481,213914,Mariah Carey , All I Want for Christmas Is You,61+
1456114042,590660,ZAYN , I Don�??t Wanna Live Forever (Fifty Shades Darker),0-18
1454967986,1067700,Adele , Easy On Me,46-60
1451318544,451346,Panic! At The Disco , High Hopes,0-18
1450545885,2704834,Miley Cyrus , Flowers,19-30
1449668324,590478,DNCE , Cake By The Ocean,31-45
1441311472,404697,Adele , Hello,46-60
1440041644,715533,WALK THE MOON , Shut Up and Dance,46-60
1437066850,340437,Post Malone , Psycho,19-30
1436322971,622989,Childish Gambino , Redbone,0-18
1430002912,594685,Future , Mask Off,31-45
1426363030,1373145,Bizarrap ," Quevedo: Bzrp Music Sessions, Vol. 52",19-30
1424835046,751819,David Guetta , Titanium,46-60
1424432430,505806,Marshmello , Silence,19-30
1424409772,451186,Ellie Goulding , Love Me Like You Do,19-30
1421675148,902196,Alec Benjamin , Let Me Down Slowly,31-45
1418941617,377325,Major Lazer , Cold Water,46-60
1418705165,617276,Travis Scott , HIGHEST IN THE ROOM,0-18
1416045746,2628282,Arctic Monkeys , I Wanna Be Yours,0-18
1414649237,783761,Billie Eilish , everything i wanted,0-18
1413682153,710495,Christina Perri , A Thousand Years,0-18
1413200246,585236,XXXTENTACION , Everybody Dies In Their Nightmares,46-60
1406092186,380798,KAROL G , Tusa,46-60
1405851093,1033248,Linkin Park , Numb,46-60
1405104924,1016890,Coolio , Gangsta's Paradise,19-30
1400776340,296515,Arizona Zervas , ROXANNE,19-30
1400420045,703388,Måneskin , Beggin',0-18
1400098656,928404,Drake , Passionfruit,0-18
1399079591,569016,XXXTENTACION , Fuck Love,19-30
1397072692,402402,Clean Bandit , Rockabye,61+
1395462014,415930,Zedd , The Middle,61+
1394627324,825102,Queen , Under Pressure,61+
1393849056,856048,The White Stripes , Seven Nation Army,19-30
1391352147,760023,Eagles , Hotel California,61+
1388971513,477457,Khalid , Young Dumb & Broke,19-30
1387960821,773979,Juice WRLD , All Girls Are The Same,31-45
1387216967,567068,Anne,Marie - 2002,46-60
1386587140,644204,Beyoncé , Halo,46-60
1380100784,808678,Bastille , Pompeii,0-18
1373763858,406018,J Balvin , Mi Gente,31-45
1371855652,849541,Tame Impala , The Less I Know The Better,31-45
1370281598,984378,Doja Cat , Woman,0-18
1359757499,1034060,Maroon 5 , Maps,31-45
1356430515,868490,Shakira , Hips Don't Lie,61+
1350598332,1941565,White Noise Baby Sleep , Clean White Noise,61+
1348296704,638595,Harry Styles , Sign of the Times,61+
1347530766,941253,Ed Sheeran , Shivers,31-45
1346966652,481179,NF , Let You Down,31-45
1346655385,838629,"Earth, Wind & Fire ", September,31-45
1346431482,327466,Marshmello , FRIENDS,61+
1344310093,884679,Conan Gray , Heather,46-60
1343868535,717962,Farruko , Pepas,0-18
1343107521,789052,Kendrick Lamar , All The Stars,31-45
1337764364,1190804,Fleetwood Mac , Dreams,61+
1333964462,1160382,Don Omar , Danza Kuduro,0-18
1333908335,968448,The Goo Goo Dolls , Iris,61+
1332858922,739123,AC/DC , Back In Black,31-45
1331998969,353579,Fifth Harmony , Work from Home,61+
1327252311,473176,Bad Bunny , Callaita,19-30
1326606903,1306548,Radiohead , Creep,0-18
1324734035,278754,Drake , In My Feelings,31-45
1324171498,287442,gnash ," i hate u, i love u",61+
1323967593,1392908,Arctic Monkeys , Why'd You Only Call Me When You're High?,61+
1323812003,1010892,Bon Jovi , Livin' On A Prayer,61+
1322808868,428689,Kygo , It Ain�??t Me,0-18
1322122702,1131634,Champs United , Danza Kuduro,61+
1322114416,494626,Clean Bandit , Symphony,19-30
1320929904,467256,Martin Garrix , In the Name of Love,61+
1315277814,841824,AC/DC , Highway to Hell,19-30
1314983580,319859,Ed Sheeran , Beautiful People,31-45
1314116685,450795,Dynoro , In My Mind,0-18
1312122553,989504,Bad Bunny , Tití Me Preguntó,31-45
1310703566,447762,Ariana Grande , Side To Side,46-60
1310252056,1092949,Miley Cyrus , Party In The U.S.A.,46-60
1307274925,1261694,Olivia Rodrigo , deja vu,31-45
1305696679,1355148,Eminem , Mockingbird,0-18
1297007038,1723657,Manuel Turizo , La Bachata,46-60
1296045927,611450,Calvin Harris , Summer,61+
1294550504,474300,Jonas Brothers , Sucker,61+
1293724062,1224408,Sam Smith , Unholy,19-30
1293388846,2624438,SZA , Kill Bill,0-18
1293026587,792836,Lil Baby , Drip Too Hard (Lil Baby & Gunna),0-18
1289286111,1255957,Calvin Harris , We Found Love,61+
1288446186,573979,Bad Bunny , Yonaguni,61+
1288207646,375413,Bebe Rexha , Meant to Be,31-45
1287757957,640552,Rihanna , Needed Me,46-60
1286124885,310535,Khalid , Location,46-60
1285666512,645710,Train ," Hey, Soul Sister",31-45
1285470205,533058,XXXTENTACION , Look At Me!,0-18
1282815867,301238,XXXTENTACION , changes,31-45
1281533565,538704,Bruno Mars , 24K Magic,0-18
1279857542,573694,Ariana Grande , positions,19-30
1279512306,927049,The Starlite Singers , Party In The U.S.A.,46-60
1278863050,727301,Offset , Ric Flair Drip,61+
1278607749,650477,MAGIC! , Rude,19-30
1277138458,1339045,Arctic Monkeys , 505,46-60
1277052620,1133769,Olivia Rodrigo , traitor,0-18
1275788741,364801,Rihanna , Work,19-30
1275785800,552156,Alessia Cara , Scars To Your Beautiful,0-18
1272283502,1450261,Tears For Fears , Everybody Wants To Rule The World,19-30
1269656703,1052387,The Weeknd , Save Your Tears,31-45
1267850079,326411,Selena Gomez , Wolves,0-18
1267146687,960302,Imagine Dragons , Enemy,0-18
1266902148,630900,Snoop Dogg ," Young, Wild & Free",0-18
1266186385,912238,Imagine Dragons , Enemy feat. J.I.D. (from the series Arcane League of Legends),61+
1266167225,262396,Logic , 1-800-273-8255,0-18
1265314257,732552,Eminem , Love The Way You Lie,46-60
1260069599,635227,Coldplay , Fix You,31-45
1259637141,1058004,Rihanna , Umbrella,19-30
1259064274,673732,Milky Chance , Stolen Dance,0-18
1258542848,679746,Pitbull , Timber,0-18
1257465612,355807,Tyga , Taste,19-30
1255447052,777627,Ariana Grande , One Last Time,61+
1253749257,395111,Daddy Yankee , Con Calma,31-45
1251406548,764022,AC/DC , Thunderstruck,31-45
1250117797,458783,Zara Larsson , Lush Life,31-45
1246338233,492000,Pharrell Williams , Happy,31-45
1245548662,310181,Ariana Grande , no tears left to cry,0-18
1244539292,972474,50 Cent , In Da Club,31-45
1242893888,717303,Dr. Dre , Still D.R.E.,0-18
1241659035,381065,Khalid , Better,19-30
1240327708,322261,Ed Sheeran , Happier,46-60
1240104665,591701,Maroon 5 , She Will Be Loved,19-30
1237328950,583430,Kanye West , Stronger,46-60
1235164453,396375,Ed Sheeran , Castle on the Hill,61+
1234886396,669088,XXXTENTACION , Hope,61+
1234013934,656398,Avicii , Waiting For Love,46-60
1231009108,786125,Rihanna , Love On The Brain,31-45
1230146305,718806,JAY,Z - Ni**as In Paris,31-45
1230069787,401144,Drake , Hotline Bling,0-18
1228624143,1418903,Adele , Set Fire to the Rain,61+
1228354680,371805,Bad Bunny , MIA,19-30
1228128263,388725,Internet Money , Lemonade,19-30
1227343645,476558,Regard , Ride It,31-45
1225417019,435209,Cardi B , WAP,46-60
1224625209,740308,Katy Perry , Dark Horse,19-30
1221853254,1182187,Justin Bieber , Ghost,31-45
1218889659,705767,Backstreet Boys , I Want It That Way,61+
1216857065,414531,Jessie J , Bang Bang,61+
1215656628,439967,Shawn Mendes , Mercy,0-18
1215554988,726705,The Script , Hall of Fame,31-45
1213695523,923157,Coldplay , A Sky Full of Stars,19-30
1211123719,483214,Axwell /\ Ingrosso , More Than You Know,0-18
1210910808,541111,Sam Smith , Dancing With A Stranger,0-18
1209640888,614155,Eminem , Godzilla,0-18
1208951858,393896,Ed Sheeran , Galway Girl,46-60
1208322726,642189,Jhayco , No Me Conoce,31-45
1208081032,558190,Ariana Grande , Into You,46-60
1207719052,390491,ZAYN , PILLOWTALK,0-18
1207171617,583177,Tate McRae , you broke me first,46-60
1203312105,669935,Coldplay , Hymn for the Weekend,46-60
1200625837,1808708,David Guetta , I'm Good (Blue),31-45
1200195126,330421,Lil Mosey , Blueberry Faygo,19-30
1197688953,199709,DJ Khaled , I'm the One,0-18
1197401374,1234693,Creedence Clearwater Revival , Have You Ever Seen The Rain,31-45
1193305507,404135,Juice WRLD , Robbery,31-45
1192924977,513418,Rauw Alejandro , Todo De Ti,0-18
1192541497,777994,Gorillaz , Feel Good Inc.,46-60
1192268295,300596,G,"Eazy - Me, Myself & I",0-18
1191038820,943123,Maroon 5 , Moves Like Jagger,31-45
1189913318,522628,Lil Tecca , Ransom,46-60
1189675431,1154579,Bad Bunny , Ojitos Lindos,19-30
1188736292,645613,Red Hot Chili Peppers , Under the Bridge,31-45
1187674335,646246,Red Hot Chili Peppers , Californication,61+
1186523133,742226,Kings of Leon , Sex on Fire,46-60
1185014744,1120241,One Direction , Night Changes,0-18
1184985979,439431,Clean Bandit , Rather Be,0-18
1184419653,317465,blackbear , hot girl bummer,0-18
1183005213,837242,Metallica , Enter Sandman (Remastered),19-30
1182523426,1328311,Ruth B. , Dandelions,31-45
1180031998,848816,Black Eyed Peas , I Gotta Feeling,61+
1178930923,553845,MKTO , Classic,61+
1172958809,1656704,OneRepublic , I Ain't Worried,31-45
1172767045,650770,Maroon 5 , Animals,31-45
1172298005,1159281,Taylor Swift , Shake It Off,19-30
1167727669,238464,Wham! , Last Christmas,61+
1167500353,563088,Drake , Nice For What,0-18
1167447151,482017,Travis Scott , BUTTERFLY EFFECT,0-18
1166554344,476979,Portugal. The Man , Feel It Still,31-45
1165937773,480598,Maluma , Hawái,0-18
1165160891,396784,Major Lazer , Light It Up,0-18
1164497890,805175,The Neighbourhood , Daddy Issues,61+
1162174447,371404,BTS , Butter,31-45
1160657554,318783,Martin Garrix , Scared to Be Lonely,61+
1160362513,452501,Post Malone , Goodbyes,31-45
1157272259,748895,Billie Eilish , ocean eyes,0-18
1157134798,392538,Masked Wolf , Astronaut In The Ocean,31-45
1155841973,578790,Lynyrd Skynyrd , Sweet Home Alabama,19-30
1154497662,1288675,Kendrick Lamar , Money Trees,19-30
1152516192,284037,Zedd , Stay,46-60
1149067872,559250,Snow Patrol , Chasing Cars,0-18
1148679528,580352,Joji , SLOW DANCING IN THE DARK,61+
1146585980,1190181,Keane , Somewhere Only We Know,31-45
1146442680,1216419,Rihanna , Diamonds,61+
1144743431,690644,Bruno Mars , Leave The Door Open,31-45
1141449008,835527,Carly Rae Jepsen , Call Me Maybe,46-60
1139234586,821004,R.E.M. , Losing My Religion,19-30
1138659839,1824339,"Tyler, The Creator ", See You Again,61+
1138625845,671939,Outkast , Hey Ya!,46-60
1136485141,535740,Adele , When We Were Young,61+
1134710811,182938,Desiigner , Panda,19-30
1133881133,207180,Hailee Steinfeld , Starving,46-60
1132993826,448500,Future , Life Is Good,0-18
1132964652,630940,J. Cole , MIDDLE CHILD,31-45
1131897737,334434,Julia Michaels , Issues,61+
1131517123,875159,Gym Class Heroes , Stereo Hearts,61+
1125590948,262942,Maroon 5 , What Lovers Do,46-60
1123299958,669420,Eurythmics , Sweet Dreams (Are Made of This),61+
1121077891,729341,Kendrick Lamar , LOVE. FEAT. ZACARI.,19-30
1118021431,319256,Doja Cat , Say So,19-30
1115074539,341476,Robin Schulz , Sugar,46-60
1111920440,561717,P!nk , Just Give Me a Reason,61+
1110190755,591437,Queen , We Will Rock You,31-45
1106961168,779154,Rihanna , Stay,61+
1106423551,802667,System Of A Down , Chop Suey!,31-45
1106229900,294141,Nio Garcia , Te Boté,19-30
1105121837,630715,Survivor , Eye of the Tiger,0-18
1104773147,2102595,Taylor Swift , Anti-Hero,0-18
1104509434,316083,The Chainsmokers , Paris,61+
1103684316,315589,Anuel AA , China,31-45
1102036308,326818,James Bay , Let It Go,61+
1101456608,889171,Billie Eilish , Happier Than Ever,46-60
1100232252,898549,Bruno Mars , Talking to the Moon,0-18
1099933515,403280,Joel Corry , Head & Heart,31-45
1099735535,741010,Coldplay , My Universe,19-30
1099696239,720065,Daniel Caesar , Best Part,46-60
1098647558,935255,Marvin Gaye , Ain't No Mountain High Enough,46-60
1098501032,231568,Pedro Capó , Calma,19-30
1098407569,225697,Demi Lovato , Sorry Not Sorry,46-60
1096616870,452478,Calum Scott , Dancing On My Own,46-60
1093128898,973810,Bad Bunny , Efecto,0-18
1093090522,911088,Unknown , Ain't No Mountain High Enough,61+
1092055527,543420,Selena Gomez , Lose You To Love Me,46-60
1091240504,534454,Lorde , Royals,31-45
1090722477,722870,Coldplay , Paradise,0-18
1089738762,335219,Justin Bieber , Intentions,31-45
1087497000,583180,Pitbull , Time of Our Lives,61+
1086404194,493329,Unknown , Time Of Our Lives,19-30
1085442992,441293,Meek Mill , Going Bad,31-45
1084566094,812737,Bruno Mars , Grenade,0-18
1083000824,729899,The Beatles , Here Comes The Sun,46-60
1082540755,460812,Tiësto , The Business,31-45
1081284054,393405,Dua Lipa , Break My Heart,19-30
1081161593,588008,Imagine Dragons , Whatever It Takes,61+
1080627277,303415,BTS , Boy With Luv (Feat. Halsey),0-18
1077811792,722198,Capital Cities , Safe And Sound,46-60
1077468817,715870,The Lumineers , Ho Hey,0-18
1077432235,549285,Imagine Dragons , Natural,46-60
1076069162,999148,Creedence Clearwater Revival , Fortunate Son,31-45
1074570442,588678,One Direction , Story of My Life,19-30
1073822987,701882,Bryson Tiller , Don't,31-45
1073279120,360341,Fetty Wap , Trap Queen,61+
1071239813,320831,21 Savage , Bank Account,0-18
1071187268,643666,USHER , Yeah!,31-45
1070301894,736795,Nirvana , Come As You Are,31-45
1065318755,491368,Doja Cat , Need to Know,46-60
1064519805,892201,XXXTENTACION , Revenge,19-30
1063617486,264169,Topic , Breaking Me,19-30
1061347664,715922,Lady Gaga , Always Remember Us This Way,61+
1060826848,745835,The Lumineers , Ophelia,0-18
1060304826,418570,Loud Luxury , Body,31-45
1060238371,250038,Jawsh 685 , Savage Love (Laxed,46-60
1058655756,205058,Jason Derulo , Swalla,46-60
1058600361,440735,The Fray , How to Save a Life,0-18
1057505682,238983,Lil Wayne , Sucker for Pain,31-45
1057104160,683928,Kate Bush , Running Up That Hill (A Deal With God),31-45
1055394292,321451,Jonas Blue , Fast Car,61+
1054887019,1563208,Lana Del Rey , Summertime Sadness,46-60
1053435960,628628,Harry Styles , Falling,0-18
1051365396,620320,Macklemore & Ryan Lewis , Thrift Shop,31-45
1049764730,807418,ABBA , Dancing Queen,61+
1049161156,349343,Post Malone , White Iverson,31-45
1048195593,787205,J. Cole , Wet Dreamz,46-60
1047728369,683674,A$AP Rocky , Praise The Lord (Da Shine),31-45
1046692508,438227,Fall Out Boy , Centuries,19-30
1046459947,302971,Calvin Harris , Feels,19-30
1046320667,187704,Jack �? , Where Are �? Now,19-30
1042656475,292414,Rudimental , These Days,0-18
1038788694,5236130,Taylor Swift , Cruel Summer,0-18
1035322243,989318,Joji , Glimpse of Us,19-30
1033079353,252715,Hailee Steinfeld , Let Me Go,61+
1032262788,592523,Whitney Houston , I Wanna Dance with Somebody (Who Loves Me),0-18
1031198765,493433,GAYLE , abcdefu,46-60
1030771697,364508,Pop Smoke , For The Night,0-18
1030290895,664915,Britney Spears , Toxic,61+
1030000244,293089,Kygo , Firestone,61+
1028529110,752831,One Direction , What Makes You Beautiful,61+
1027623905,420322,Kendrick Lamar , DNA.,46-60
1025741894,634440,Dire Straits , Sultans Of Swing,46-60
1025740316,820219,Lady Gaga , Poker Face,19-30
1025087565,395124,Lil Peep , Falling Down,0-18
1022954170,646824,Bryan Adams , Summer Of '69,19-30
1022020241,358499,Ali Gatie , It's You,46-60
1021514607,364881,Rihanna , FourFiveSeconds,0-18
1019632092,972309,The Walters , I Love You So,0-18
1018969082,373094,DJ Khaled , Wild Thoughts,0-18
1018714502,558014,Duncan Laurence , Arcade,19-30
1016115432,621793,Lady Gaga , Bad Romance,31-45
1015597725,438400,Drake , Nonstop,61+
1014929204,618165,Guns N' Roses , Welcome To The Jungle,0-18
1014381552,461980,JP Saxe , If the World Was Ending,0-18
1012959981,838153,Lost Frequencies , Where Are You Now,61+
1010969949,398240,Kungs , This Girl (Kungs Vs. Cookin' On 3 Burners),31-45
1007270144,396276,Calvin Harris , How Deep Is Your Love,19-30
1007123597,430530,Kodaline , All I Want,31-45
1006109481,1229987,Miguel , Sure Thing,0-18
1005698192,581090,Metallica , Nothing Else Matters (Remastered),46-60
1004090330,368576,One Direction , Drag Me Down,61+
1002837517,416170,Ariana Grande , Stuck with U,19-30
1002508735,511088,Pop Smoke , What You Know Bout Love,31-45
1002023829,509685,Katy Perry , Roar,31-45
999790463,2049688,Rema , Calm Down,61+
996141083,261161,Drake , Toosie Slide,31-45
995909086,564387,fun. , We Are Young,31-45
995447906,262911,DJ Snake , Middle,0-18
993117330,469803,Lewis Capaldi , Bruises,31-45
991958614,184315,Clean Bandit , Solo,61+
989704682,1081432,Sia , Unstoppable,0-18
989534639,257247,Drake , Too Good,46-60
988880314,617217,Red Hot Chili Peppers , Can't Stop,0-18
988299166,618709,Kesha , TiK ToK,0-18
987909763,665325,The Cranberries , Zombie,61+
987808150,312026,Eminem , Rap God,31-45
986875879,252820,Bazzi , Mine,46-60
986006627,1147698,Chris Brown , Under The Influence,46-60
985879598,280475,A Great Big World , Say Something,31-45
985798455,345263,Selena Gomez , Back To You,46-60
984605859,610859,Sean Paul , No Lie,19-30
984358139,575328,Papa Roach , Last Resort,31-45
983200889,441790,Adele , Make You Feel My Love,46-60
983111979,458337,George Ezra , Budapest,61+
982863687,311602,Ariana Grande , God is a woman,0-18
982436079,252797,Kodak Black , ZEZE,31-45
980120366,615229,Giveon , Heartbreak Anniversary,0-18
979515443,314514,The Chainsmokers , Roses,31-45
977973187,2135980,LISA , MONEY,19-30
977667727,306714,Lady Gaga , Rain On Me,46-60
976739677,291017,Flo Rida , My House,31-45
976439123,245100,Calvin Harris , Promises,19-30
975424673,431034,Billie Eilish , idontwannabeyouanymore,61+
974448042,764893,The Rolling Stones ," Paint It, Black",46-60
974074461,734601,Lil Peep , Star Shopping,0-18
973221329,768224,Beyoncé , Crazy In Love,31-45
972014807,1188927,Steve Lacy , Dark Red,19-30
971529636,404120,Plain White T's , Hey There Delilah,46-60
971093242,972251,Lana Del Rey , Young And Beautiful,31-45
969973128,338574,Dan + Shay ," 10,000 Hours",61+
969609416,280032,Jonas Blue , Perfect Strangers,61+
968793129,268907,Unknown , Perfect Strangers,31-45
967505632,320275,Meghan Trainor , Like I'm Gonna Lose You,31-45
966900099,400599,Adele , Send My Love (To Your New Lover),61+
966844857,448097,Lilly Wood and The Prick , Prayer in C,61+
966777250,637648,The Notorious B.I.G. , Hypnotize,0-18
964757639,626708,Kanye West , Gold Digger,61+
962316512,262378,Post Malone , Candy Paint,46-60
961664031,637891,Lil Baby , Yes Indeed,19-30
960795253,386420,Avicii , Without You,19-30
